VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_NORMAL0.w, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
6701, 1936, 0.27988, 0.66649, 0.65496, 0.27783, 0.93701, -0.21118, 0.00, 0.08313, 0.19568, 0.97705, -1.00, 0.70801, 0.44653, 0.8779, 0.78549
6702, 1936, 0.27988, 0.66649, 0.65496, 0.27783, 0.93701, -0.21118, 0.00, 0.08313, 0.19568, 0.97705, -1.00, 0.70801, 0.44653, 0.8779, 0.78549
6703, 1938, 0.29027, 0.65689, 0.63779, 0.20288, 0.979, -0.02495, 0.00, -0.04138, 0.03403, 0.99854, -1.00, 0.69824, 0.4397, 0.88613, 0.79071
6704, 1940, 0.27714, 0.66021, 0.63586, 0.34131, 0.93945, 0.03479, 0.00, -0.06232, -0.01431, 0.99805, -1.00, 0.69727, 0.44678, 0.88689, 0.78526
6705, 1941, 0.29259, 0.66335, 0.62245, 0.02493, 0.97119, 0.23743, 0.00, -0.16235, -0.23047, 0.95947, -1.00, 0.68896, 0.44043, 0.89362, 0.79086
6706, 1940, 0.27714, 0.66021, 0.63586, 0.34131, 0.93945, 0.03479, 0.00, -0.06232, -0.01431, 0.99805, -1.00, 0.69727, 0.44678, 0.88689, 0.78526
6707, 1938, 0.29027, 0.65689, 0.63779, 0.20288, 0.979, -0.02495, 0.00, -0.04138, 0.03403, 0.99854, -1.00, 0.69824, 0.4397, 0.88613, 0.79071
6708, 1939, 0.29195, 0.6692, 0.68311, -0.07336, 0.98779, -0.13818, 0.00, 0.03592, 0.14111, 0.98926, -1.00, 0.72363, 0.44092, 0.86505, 0.7907
6709, 1936, 0.27988, 0.66649, 0.65496, 0.27783, 0.93701, -0.21118, 0.00, 0.08313, 0.19568, 0.97705, -1.00, 0.70801, 0.44653, 0.8779, 0.78549
6710, 1942, 0.27921, 0.66898, 0.69195, 0.09253, 0.98633, -0.13513, 0.00, 0.05093, 0.13086, 0.99023, -1.00, 0.72754, 0.44775, 0.86113, 0.78532
6711, 1942, 0.27921, 0.66898, 0.69195, 0.09253, 0.98633, -0.13513, 0.00, 0.05093, 0.13086, 0.99023, -1.00, 0.72754, 0.44775, 0.86113, 0.78532
6712, 1943, 0.29228, 0.67437, 0.70268, -0.33203, 0.93213, -0.14453, 0.00, 0.05844, 0.17322, 0.98291, -1.00, 0.73389, 0.44092, 0.85561, 0.79065
6713, 1939, 0.29195, 0.6692, 0.68311, -0.07336, 0.98779, -0.13818, 0.00, 0.03592, 0.14111, 0.98926, -1.00, 0.72363, 0.44092, 0.86505, 0.7907
6714, 1944, 0.29365, 0.67889, 0.7257, -0.39038, 0.91992, -0.04044, 0.00, 0.07043, 0.07361, 0.99463, -1.00, 0.74609, 0.44092, 0.84491, 0.79072
6715, 1943, 0.29228, 0.67437, 0.70268, -0.33203, 0.93213, -0.14453, 0.00, 0.05844, 0.17322, 0.98291, -1.00, 0.73389, 0.44092, 0.85561, 0.79065
6716, 1942, 0.27921, 0.66898, 0.69195, 0.09253, 0.98633, -0.13513, 0.00, 0.05093, 0.13086, 0.99023, -1.00, 0.72754, 0.44775, 0.86113, 0.78532
6717, 1944, 0.29365, 0.67889, 0.7257, -0.39038, 0.91992, -0.04044, 0.00, 0.07043, 0.07361, 0.99463, -1.00, 0.74609, 0.44092, 0.84491, 0.79072
6718, 1942, 0.27921, 0.66898, 0.69195, 0.09253, 0.98633, -0.13513, 0.00, 0.05093, 0.13086, 0.99023, -1.00, 0.72754, 0.44775, 0.86113, 0.78532
6719, 1945, 0.28339, 0.6737, 0.72865, -0.09741, 0.99463, -0.03053, 0.00, 0.06854, 0.03732, 0.99707, -1.00, 0.74707, 0.44702, 0.84409, 0.78586
6720, 1945, 0.28339, 0.6737, 0.72865, -0.09741, 0.99463, -0.03053, 0.00, 0.06854, 0.03732, 0.99707, -1.00, 0.74707, 0.44702, 0.84409, 0.78586
6721, 1946, 0.29538, 0.67841, 0.74084, -0.40771, 0.91309, 0.00673, 0.00, 0.08398, 0.03017, 0.99609, -1.00, 0.75391, 0.44067, 0.83801, 0.79106
6722, 1944, 0.29365, 0.67889, 0.7257, -0.39038, 0.91992, -0.04044, 0.00, 0.07043, 0.07361, 0.99463, -1.00, 0.74609, 0.44092, 0.84491, 0.79072
6723, 1947, 0.26012, 0.67767, 0.7042, 0.17615, 0.98242, -0.06506, 0.00, 0.06158, 0.05499, 0.99658, -1.00, 0.7334, 0.4585, 0.8557, 0.77668
6724, 1942, 0.27921, 0.66898, 0.69195, 0.09253, 0.98633, -0.13513, 0.00, 0.05093, 0.13086, 0.99023, -1.00, 0.72754, 0.44775, 0.86113, 0.78532
6725, 1936, 0.27988, 0.66649, 0.65496, 0.27783, 0.93701, -0.21118, 0.00, 0.08313, 0.19568, 0.97705, -1.00, 0.70801, 0.44653, 0.8779, 0.78549
6726, 1947, 0.26012, 0.67767, 0.7042, 0.17615, 0.98242, -0.06506, 0.00, 0.06158, 0.05499, 0.99658, -1.00, 0.7334, 0.4585, 0.8557, 0.77668
6727, 1945, 0.28339, 0.6737, 0.72865, -0.09741, 0.99463, -0.03053, 0.00, 0.06854, 0.03732, 0.99707, -1.00, 0.74707, 0.44702, 0.84409, 0.78586
6728, 1942, 0.27921, 0.66898, 0.69195, 0.09253, 0.98633, -0.13513, 0.00, 0.05093, 0.13086, 0.99023, -1.00, 0.72754, 0.44775, 0.86113, 0.78532
6729, 1945, 0.28339, 0.6737, 0.72865, -0.09741, 0.99463, -0.03053, 0.00, 0.06854, 0.03732, 0.99707, -1.00, 0.74707, 0.44702, 0.84409, 0.78586
6730, 1948, 0.28198, 0.67274, 0.75064, -0.00814, 0.99902, -0.03793, 0.00, 0.06891, 0.03839, 0.99707, -1.00, 0.7583, 0.44849, 0.83417, 0.78464
6731, 1946, 0.29538, 0.67841, 0.74084, -0.40771, 0.91309, 0.00673, 0.00, 0.08398, 0.03017, 0.99609, -1.00, 0.75391, 0.44067, 0.83801, 0.79106
6732, 1948, 0.28198, 0.67274, 0.75064, -0.00814, 0.99902, -0.03793, 0.00, 0.06891, 0.03839, 0.99707, -1.00, 0.7583, 0.44849, 0.83417, 0.78464
6733, 1949, 0.29703, 0.6802, 0.75822, -0.28613, 0.95801, -0.00292, 0.00, 0.09589, 0.03168, 0.99512, -1.00, 0.76318, 0.44092, 0.82992, 0.79111
6734, 1946, 0.29538, 0.67841, 0.74084, -0.40771, 0.91309, 0.00673, 0.00, 0.08398, 0.03017, 0.99609, -1.00, 0.75391, 0.44067, 0.83801, 0.79106
6735, 1948, 0.28198, 0.67274, 0.75064, -0.00814, 0.99902, -0.03793, 0.00, 0.06891, 0.03839, 0.99707, -1.00, 0.7583, 0.44849, 0.83417, 0.78464
6736, 1945, 0.28339, 0.6737, 0.72865, -0.09741, 0.99463, -0.03053, 0.00, 0.06854, 0.03732, 0.99707, -1.00, 0.74707, 0.44702, 0.84409, 0.78586
6737, 1950, 0.26237, 0.67837, 0.74754, 0.12109, 0.99023, -0.06641, 0.00, 0.06201, 0.0592, 0.99609, -1.00, 0.75635, 0.45898, 0.83617, 0.77628
6738, 1945, 0.28339, 0.6737, 0.72865, -0.09741, 0.99463, -0.03053, 0.00, 0.06854, 0.03732, 0.99707, -1.00, 0.74707, 0.44702, 0.84409, 0.78586
6739, 1947, 0.26012, 0.67767, 0.7042, 0.17615, 0.98242, -0.06506, 0.00, 0.06158, 0.05499, 0.99658, -1.00, 0.7334, 0.4585, 0.8557, 0.77668
